SubjectID,WCST Accuracy
s001,0.6171875
s004,0.75
s005,0.810126582
s008,0.835164835
s009,0.887323944
s010,0.81
s011,0.813953488
s013,0.861111111
s014,0.4296875
s015,0.84
s016,0.87012987
s017,0.824742268
s018,0.515625
s019,0.776470588
s021,0.786885246
s023,0.873239437
s025,0.884057971
s026,0.82278481
s027,0.796610169
s028,0.792682927
s030,0.820512821
s031,0.848837209
s034,0.849315068
s035,0.359375
s037,
s038,0.873239437
s041,0.869565217
s042,0.866666667
s043,0.808510638
s044,0.837837838
s048,0.876712329
s049,0.761363636
s051,0.83908046
s053,0.861111111
s055,0.75
s056,0.7
s057,0.8
s058,0.851351351
s060,0.860759494
s063,0.844155844
s065,0.765306122
s066,0.4765625
s067,0.857142857
s069,0.888888889
s071,0.805194805
s076,0.847222222
s077,0.5
s078,0.851351351
s079,0.703125
s080,0.59375
s081,0.875
s082,0.85
s083,0.6171875
s084,0.34375
s085,0.815789474
s087,0.6875
s089,0.879120879
s090,0.863013699
s092,0.804878049
s093,0.772277228
s095,0.85
s098,0.87654321
s101,0.863636364
s103,0.888888889
s105,0.868421053
s108,0.863013699
s109,0.9
s111,0.831168831
s113,0.875
s114,0.814814815
s117,0.86440678
s121,0.759615385
s123,0.7421875
s125,0.797752809
s126,0.731182796
s129,0.855263158
s134,0.831325301
s135,0.671875
s136,0.873239437
s138,0.756756757
s139,
s141,0.867346939
s142,0.793478261
s143,0.793103448
s145,0.831325301
s146,0.84
s147,0.858974359
s149,0.855555556
s151,0.833333333
s153,0.822033898
s154,0.8125
s155,0.836538462
s156,0.887323944
s157,0.73255814
s161,0.831325301
s162,
s163,0.805825243
s165,0.546875
s166,0.4609375
s168,0.831858407
s169,0.887323944
s173,0.790697674
s177,0.858695652
s180,0.846153846
s183,0.838383838
s184,0.810126582
s185,0.739130435
s187,0.515625
s189,0.915492958
s190,0.797752809
s192,0.831325301
s197,0.390625
s198,0.6015625
s201,0.819277108
s205,0.817073171
s206,0.827160494
s207,0.881578947
s208,0.807228916
s209,0.805825243
s210,0.85915493
s211,0.768292683
s212,
s213,0.857142857
s214,0.875
s215,0.3125
s216,0.71875
