SubjectID,Intellectual Humility,Conservatism,Social Conservatism,Ingroup Attitude,Nationalism,MAGA,WCST_Accuracy,Religiosity Factor,Dogmatism Factor,Political Factor
s001,90,59,34,5,26,2,0.6171875,0.575054014,0.46026286,-0.116514668
s004,83,106,63,18,39,2,0.75,-0.711437523,-0.382780188,1.110028057
s005,91,,52,14,39,3,0.810126582,,,
s008,73,25,9,5,12,1,0.835164835,0.803185126,-1.505620166,-1.811933155
s009,67,66,33,6,29,6,0.887323944,0.652775917,-0.915347413,-0.274356187
s010,79,72,40,5,28,1,0.81,0.713417879,-0.516649568,0.318831711
s011,102,50,30,5,9,1,0.813953488,0.753188863,1.539684404,-1.626989886
s013,93,66,42,9,21,3,0.861111111,0.573970983,0.146321425,-0.046408343
s014,73,82,51,15,33,6,0.4296875,-0.061648044,-1.370454366,0.440529734
s015,100,73,50,5,16,1,0.84,0.630150665,1.426055301,-0.585032854
s016,90,71,40,5,21,1,0.87012987,0.557489946,0.147525805,-0.33323218
s017,79,96,44,6,30,3,0.824742268,0.607523009,-0.068150026,0.582509369
s018,83,84,48,9,36,4,0.515625,0.599427676,0.110981715,0.628127962
s019,98,90,55,12,35,4,0.776470588,0.574550041,0.708720148,0.919748571
s021,67,117,72,24,51,11,0.786885246,-1.689525721,-2.092074394,2.066527981
s023,94,67,39,16,21,1,0.873239437,0.638548516,0.472463006,-0.075908893
s025,72,51,30,5,29,1,0.884057971,0.615415403,-0.917778513,-0.711760729
s026,84,110,63,10,39,10,0.82278481,0.715294203,-0.603332169,1.291074343
s027,103,57,33,5,14,1,0.796610169,0.646896037,0.908122799,-0.68206045
s028,72,88,49,15,31,8,0.792682927,-0.135957665,-0.842889756,0.410181888
s030,79,79,42,23,42,8,0.820512821,0.677930893,-1.081092181,0.858380039
s031,96,44,30,14,16,1,0.848837209,-0.239104602,0.72228791,-0.655662179
s034,89,55,33,6,12,1,0.849315068,0.717044681,0.478401582,-1.119272523
s035,104,,,7,14,5,0.359375,,,
s037,87,108,77,18,43,9,,,,
s038,91,44,28,5,20,1,0.873239437,0.601710001,0.832708852,-1.167724239
s041,83,97,62,6,15,7,0.869565217,-0.703552293,-0.428464843,-0.160082718
s042,97,55,29,9,28,3,0.866666667,0.646147353,0.933527194,-0.449130501
s043,85,70,31,14,28,1,0.808510638,0.606886012,0.287514361,-0.278638461
s044,76,98,70,17,47,11,0.837837838,0.302015984,-0.147983935,1.36600566
s048,94,52,18,5,10,1,0.876712329,0.847063131,0.453077427,-1.482056215
s049,92,72,44,10,30,5,0.761363636,0.641676887,0.219632832,-0.00887742
s051,96,75,45,12,33,2,0.83908046,0.573684087,0.887225151,-0.262042581
s053,95,63,37,9,17,2,0.861111111,0.695808746,0.521344719,-0.676999217
s055,93,107,54,32,40,11,0.75,0.634424986,-0.490301017,1.883089856
s056,106,105,62,6,16,1,0.7,-0.8375655,1.648902101,0.231829359
s057,70,37,22,5,15,1,0.8,0.382090072,-0.243859707,-1.24944374
s058,90,84,41,14,22,2,0.851351351,0.704899834,0.798385941,-0.012924556
s060,91,84,46,10,32,10,0.860759494,0.17654416,0.121388317,0.671142406
s063,95,81,51,10,24,8,0.844155844,0.564879077,0.908967796,-0.036819843
s065,70,75,49,10,30,2,0.765306122,-1.582376415,-0.389722404,-0.101415745
s066,87,101,68,5,32,1,0.4765625,-1.800217844,0.408054892,0.267439286
s067,87,96,59,6,33,6,0.857142857,-0.049149533,-0.15138858,0.335893984
s069,77,76,48,17,34,1,0.888888889,-0.942313737,-0.893523194,0.14747699
s071,90,65,38,10,17,6,0.805194805,0.591148795,0.517479182,-0.261910008
s076,94,75,42,10,33,1,0.847222222,-0.370944223,0.449947568,0.012166171
s077,75,85,44,20,35,8,0.5,0.633819861,-1.256231541,0.731118295
s078,94,99,53,8,17,10,0.851351351,0.64418037,0.372932784,0.804412396
s079,99,97,61,10,34,1,0.703125,0.442500665,0.79210042,1.114376945
s080,92,57,35,5,13,1,0.59375,0.624256657,0.220442712,-0.728811876
s081,88,67,35,6,31,1,0.875,-1.053752684,0.559317711,0.11213719
s082,69,23,12,6,14,1,0.85,0.796985808,-2.134715622,-1.822479724
s083,89,55,34,11,14,1,0.6171875,-1.806202104,0.726851381,-1.00495454
s084,86,100,71,5,43,1,0.34375,-1.888996846,-0.028375922,1.192515487
s085,79,126,73,14,38,11,0.815789474,-0.182007191,-1.32317955,1.836280783
s087,87,100,64,23,45,9,0.6875,-0.317902345,0.282548755,1.494859527
s089,102,116,76,15,33,11,0.879120879,-1.754319354,0.715868489,1.540639153
s090,76,65,32,10,23,1,0.863013699,0.719103929,-0.377445394,-0.672266901
s092,91,80,48,5,27,3,0.804878049,0.431835184,0.801795416,-0.066151617
s093,74,56,32,10,19,1,0.772277228,0.626523023,-0.363079869,-0.80932441
s095,87,81,38,13,33,11,0.85,0.694965376,-0.129223438,0.113146092
s098,104,36,19,5,14,1,0.87654321,-1.805905894,1.616166522,-1.794788026
s101,95,60,39,10,22,1,0.863636364,0.521330271,0.456928561,-0.237949797
s103,79,82,40,10,16,6,0.888888889,-0.027768778,-0.064725715,-0.825719861
s105,110,,,28,44,9,0.868421053,,,
s108,79,59,37,11,16,1,0.863013699,0.604811508,-0.361232349,-0.753044959
s109,104,99,64,7,19,1,0.9,-2.505698695,1.007490039,-0.012263915
s111,75,69,41,15,37,6,0.831168831,-0.185282707,-0.583903639,0.22012528
s113,97,27,8,5,9,1,0.875,0.768055167,1.120840176,-1.874807691
s114,88,105,60,16,35,7,0.814814815,-0.813960005,-0.593096662,1.094173212
s117,105,47,27,19,22,1,0.86440678,0.728836887,1.219213013,-0.924578289
s121,86,82,46,8,28,6,0.759615385,0.673247629,-0.007924614,-0.08401079
s123,82,115,70,18,30,10,0.7421875,-0.092974956,-0.5257081,1.411915519
s125,104,109,76,6,14,1,0.797752809,-1.553827032,1.26010401,0.055476897
s126,102,93,58,8,22,6,0.731182796,-1.03364393,1.54558197,0.455292602
s129,87,89,44,13,16,2,0.855263158,-2.375818233,0.56609524,-0.147506065
s134,99,36,21,8,13,1,0.831325301,0.625480647,0.992144257,-1.399028684
s135,81,103,55,23,35,11,0.671875,-0.924635758,-0.745926974,1.14669624
s136,88,83,44,14,28,7,0.873239437,0.700640167,-0.196045847,0.213758025
s138,96,90,55,10,23,3,0.756756757,-2.3102719,0.92981718,-0.393856776
s139,100,55,25,9,13,1,,0.801194707,0.954396751,-1.23789928
s141,84,37,25,12,17,1,0.867346939,-2.31857986,0.203868043,-1.143999817
s142,63,28,16,22,35,2,0.793478261,0.641870296,-0.777971604,-0.910104737
s143,82,111,70,22,43,11,0.793103448,0.609608668,-0.889890068,2.06980478
s145,74,54,29,18,18,1,0.831325301,-0.034611354,-0.613983577,-0.798849292
s146,88,115,64,12,38,11,0.84,0.494620944,0.007532248,1.358476084
s147,66,45,23,8,21,1,0.858974359,0.600672261,-1.175196398,-0.851489947
s149,87,29,20,5,16,1,0.855555556,0.686615813,-0.247508983,-1.373822938
s151,69,54,27,9,26,8,0.833333333,0.50583883,-0.616282633,-0.105744988
s153,83,124,71,20,56,11,0.822033898,-1.104406874,-0.192984021,2.341222837
s154,87,103,52,13,36,10,0.8125,0.571216065,-0.045151797,1.040253497
s155,64,17,7,5,9,1,0.836538462,,,
s156,97,67,32,18,21,1,0.887323944,0.788505234,0.161250654,-0.440768948
s157,87,82,38,20,28,8,0.73255814,0.612964777,0.053218256,0.518002596
s161,95,57,27,6,30,6,0.831325301,0.580559498,0.820784682,-0.37295604
s162,79,49,21,17,49,1,,0.732437806,-1.328657744,0.531799271
s163,96,43,21,6,15,1,0.805825243,0.726885012,1.076917259,-0.775082991
s165,95,113,66,5,31,9,0.546875,-1.694060267,-0.3605462,1.319705304
s166,83,90,55,16,30,7,0.4609375,0.630778783,-0.161105749,0.569921092
s168,87,69,27,6,19,3,0.831858407,0.795121106,0.170521683,-0.51743978
s169,59,122,77,15,42,11,0.887323944,-2.616894522,-2.198307838,1.002141669
s173,85,56,20,7,19,1,0.790697674,0.722738825,0.2693941,-0.910530089
s177,75,26,14,7,11,1,0.858695652,0.75652797,-0.78976183,-1.866250271
s180,81,70,34,12,21,2,0.846153846,0.748106752,-0.419715594,-0.490451689
s183,89,72,53,19,24,1,0.838383838,-1.107586342,-0.049584852,0.116537576
s184,95,95,54,11,19,2,0.810126582,-0.158041002,0.908172587,0.205045974
