SubjectID,Age,Edu,Gender,Income
s001,29,5,1,3
s004,37,5,0,4
s005,39,2,0,2
s008,35,5,1,4
s009,29,5,0,1
s010,47,5,0,3
s011,29,3,1,2
s013,52,3,1,4
s014,31,1,0,2
s015,29,2,0,2
s016,22,3,1,1
s017,33,5,0,4
s018,36,7,0,3
s019,35,2,1,4
s021,42,2,1,2
s023,48,2,0,2
s025,41,6,1,2
s026,40,5,0,2
s027,32,3,0,2
s028,34,5,0,3
s030,30,5,0,3
s031,33,5,0,5
s034,30,3,1,3
s035,29,6,1,4
s037,,,,
s038,34,4,1,1
s041,36,2,1,1
s042,31,5,0,4
s043,43,4,0,3
s044,38,4,1,1
s048,28,3,0,3
s049,62,2,1,4
s051,33,3,0,2
s053,47,3,0,4
s055,55,4,0,2
s056,51,3,0,3
s057,31,4,1,
s058,36,6,0,4
s060,51,5,1,2
s063,42,4,1,2
s065,31,5,1,4
s066,29,5,1,4
s067,40,2,1,2
s069,34,4,1,4
s071,43,3,1,4
s076,39,4,1,2
s077,33,5,0,3
s078,61,3,0,2
s079,30,5,0,3
s080,46,4,1,2
s081,45,4,1,3
s082,32,2,0,2
s083,53,4,0,2
s084,49,4,0,4
s085,37,5,1,4
s087,60,5,1,2
s089,35,4,1,3
s090,44,4,1,2
s092,36,3,1,1
s093,39,5,0,3
s095,49,7,0,1
s098,28,6,0,3
s101,35,5,1,1
s103,34,2,1,2
s105,27,2,1,2
s108,45,3,1,2
s109,28,6,0,3
s111,39,2,1,4
s113,26,5,1,
s114,30,5,0,3
s117,35,3,0,5
s121,39,2,1,2
s123,27,4,0,2
s125,32,3,1,3
s126,25,5,0,3
s129,38,4,0,1
s134,25,5,0,4
s135,29,4,0,2
s136,46,5,0,4
s138,29,3,0,2
s139,38,4,1,2
s141,27,2,0,3
s142,31,5,0,3
s143,31,2,0,2
s145,27,2,0,2
s146,51,3,1,4
s147,32,2,1,4
s149,47,7,0,5
s151,36,2,0,1
s153,33,5,0,4
s154,49,5,0,5
s155,35,2,1,2
s156,40,3,0,4
s157,51,5,0,4
s161,33,3,1,2
s162,28,2,0,3
s163,46,5,0,5
s165,33,5,0,2
s166,41,2,0,3
s168,35,5,1,2
s169,47,5,1,2
s173,28,3,0,3
s177,40,4,0,1
s180,36,5,0,2
s183,35,2,0,4
s184,50,5,1,4
s185,37,6,0,5
s187,30,5,0,3
s189,31,3,1,2
s190,32,5,0,3
s192,33,5,1,2
s197,28,5,0,4
s198,29,2,1,2
s201,50,5,1,3
s205,36,2,0,1
s206,30,5,1,3
s207,35,5,1,1
s208,33,3,0,3
s209,44,3,0,1
s210,36,4,0,2
s211,34,7,0,
s212,34,5,1,3
s213,46,4,1,2
s214,47,6,0,2
s215,48,2,0,2
s216,49,5,1,3
s218,51,6,1,4
s219,36,3,0,2
s222,34,5,1,2
s224,29,5,0,3
s225,42,5,1,2
s226,32,5,1,2
s227,39,6,0,4
s228,38,2,0,2
s229,29,5,0,3
s230,48,5,0,4
s231,40,2,1,2
s233,44,3,1,2
s235,32,3,1,4
s238,26,2,1,4
s242,30,5,0,3
s245,43,5,1,2
s247,63,5,0,2
s248,46,5,1,1
s249,30,5,0,4
s250,33,4,1,3
s252,34,2,0,3
s254,56,4,1,3
s255,39,2,0,3
s256,28,5,1,3
s258,32,4,1,2
s259,28,3,0,2
s260,41,5,1,4
s261,25,1,1,3
s262,28,5,1,4
s264,25,3,1,2
s265,40,6,0,4
s266,43,5,0,4
s267,42,5,0,4
s270,39,4,1,3
s271,25,3,0,2
s273,35,5,0,3
s274,43,6,0,2
s275,25,3,1,3
s276,41,5,0,4
s277,29,4,1,3
s278,40,4,1,2
s279,25,2,1,2
s282,52,2,0,4
s283,30,3,0,4
s284,38,3,0,1
s286,34,5,0,2
s288,31,3,0,2
s291,32,5,1,5
s294,26,4,1,1
s295,29,4,0,3
s296,34,5,1,3
s297,43,3,1,4
s298,38,5,1,
s299,38,5,1,4
s302,33,6,0,5
s303,22,5,0,4
s304,47,3,1,2
s307,31,5,0,4
s308,35,5,0,4
s312,35,3,0,2
s313,26,4,1,2
s317,31,3,1,2
s319,38,4,1,2
s320,30,4,0,2
s321,25,2,1,2
s323,36,2,0,3
s326,45,2,0,3
s327,28,2,1,4
s334,35,4,1,4
s336,28,5,0,2
s337,36,6,1,3
s338,42,5,1,1
s341,33,3,1,3
s342,29,5,0,2
s343,22,5,1,2
s344,32,5,0,4
s348,33,3,0,3
s350,38,5,1,4
s351,36,2,1,3
s353,28,2,1,2
s355,35,5,0,1
s357,61,4,1,4
s358,27,5,0,4
s360,45,4,1,4
s363,57,3,1,3
s364,28,3,0,3
s365,45,5,0,2
s369,36,4,1,4
s370,30,6,0,1
s372,39,5,0,4
s373,29,5,0,1
s374,36,5,0,3
s375,50,5,0,4
s376,41,5,0,3
s377,36,5,0,2
s379,33,2,1,4
s380,46,2,1,1
s381,40,2,0,3
s384,27,5,0,3
s387,50,3,1,3
s391,35,2,0,1
s392,45,4,0,3
s395,45,4,1,4
s396,37,7,0,1
s397,43,3,0,2
s399,,5,1,5
s400,35,2,1,4
s401,28,4,1,3
s402,23,2,1,1
s403,25,3,1,2
s404,48,3,1,2
s408,50,3,1,2
s410,28,4,1,1
s411,34,6,0,3
s413,36,6,0,4
s414,48,2,1,1
s415,40,3,1,2
s416,24,5,0,2
s418,23,3,1,1
s419,28,5,1,3
s421,36,5,1,3
s422,38,5,0,4
s423,33,2,1,1
s424,42,6,1,2
s425,36,3,1,1
s426,40,5,0,3
s427,36,6,0,3
s428,55,6,1,5
s429,27,2,0,1
s430,34,4,1,3
s431,36,5,1,4
s433,31,3,1,3
s435,55,6,1,1
s436,34,2,1,4
s438,41,6,0,1
s441,42,3,0,2
s443,33,5,0,4
s445,31,5,0,2
s446,28,5,0,1
s449,39,7,1,1
s450,38,4,1,2
s451,39,5,1,2
s453,44,2,0,4
s454,36,2,1,4
s455,26,2,0,2
s457,59,5,1,3
s458,30,3,1,1
s464,34,3,1,4
s465,48,5,1,3
s467,53,2,1,3
s468,27,6,,2
s469,45,5,1,2
s470,34,5,0,1
s471,35,5,0,4
s472,51,2,1,2
s473,25,5,0,4
s474,30,5,0,4
s475,29,5,0,4
s477,34,2,0,2
s479,60,5,1,3
s481,31,6,1,2
s482,43,5,1,1
s483,31,3,1,2
s484,,2,0,2
s486,52,7,0,4
s489,37,5,1,1
s490,48,3,1,4
s491,46,4,1,4
s493,38,5,1,2
s494,58,5,0,4
s495,43,4,1,3
s496,36,5,1,3
s497,43,3,0,1
s498,30,3,0,3
s500,48,7,1,5
s502,37,5,1,3
s503,40,3,1,4
s504,43,6,0,3
s507,35,5,1,1
s509,36,3,1,2
s513,33,3,1,4
